Año(aaaa)-Mes(mm),Índice,Inflación anual %,Inflación mensual %,Inflación año corrido %
01/07/2010,72.92,2.24,-0.04,2.42
01/08/2010,73.0,2.31,0.11,2.54
01/09/2010,72.9,2.28,-0.14,2.4
01/10/2010,72.84,2.33,-0.09,2.31
01/11/2010,72.98,2.59,0.19,2.51
01/12/2010,73.45,3.17,0.65,3.17
01/01/2011,74.12,3.4,0.91,0.91
01/02/2011,74.57,3.17,0.6,1.52
01/03/2011,74.77,3.19,0.27,1.79
01/04/2011,74.86,2.84,0.12,1.91
01/05/2011,75.07,3.02,0.28,2.2
01/06/2011,75.31,3.23,0.32,2.53
01/07/2011,75.42,3.42,0.14,2.67
01/08/2011,75.39,3.27,-0.03,2.64
01/09/2011,75.62,3.73,0.31,2.95
01/10/2011,75.77,4.02,0.19,3.15
01/11/2011,75.87,3.96,0.14,3.29
01/12/2011,76.19,3.73,0.42,3.73
01/01/2012,76.75,3.54,0.73,0.73
01/02/2012,77.22,3.55,0.61,1.35
01/03/2012,77.31,3.4,0.12,1.47
01/04/2012,77.42,3.43,0.14,1.62
01/05/2012,77.66,3.44,0.3,1.92
01/06/2012,77.72,3.2,0.08,2.01
01/07/2012,77.7,3.03,-0.02,1.98
01/08/2012,77.73,3.11,0.04,2.03
01/09/2012,77.96,3.08,0.29,2.32
01/10/2012,78.08,3.06,0.16,2.48
01/11/2012,77.98,2.77,-0.14,2.34
01/12/2012,78.05,2.44,0.09,2.44
01/01/2013,78.28,2.0,0.3,0.3
01/02/2013,78.63,1.83,0.44,0.74
01/03/2013,78.79,1.91,0.21,0.95
01/04/2013,78.99,2.02,0.25,1.21
01/05/2013,79.21,2.0,0.28,1.49
01/06/2013,79.39,2.16,0.23,1.73
01/07/2013,79.43,2.22,0.04,1.77
01/08/2013,79.5,2.27,0.08,1.86
01/09/2013,79.73,2.27,0.29,2.16
01/10/2013,79.52,1.84,-0.26,1.89
01/11/2013,79.35,1.76,-0.22,1.67
01/12/2013,79.56,1.94,0.26,1.94
